data,id,nazwa,ogolem,liczba_zgonow,liczba_wyleczonych,osoby_z_kwarantanny_po_powrocie_z_zagranicy,osoby_z_kwarantanny_po_kontakcie_z_osoba_zakazona,zachorowania_poprzez_kontakt_w_szpitalu_lub_przychodni,zachorowania_w_dps,zachorowania_w_zol,zaklady_pracy,szkoly,uczelnie,akademiki,wesela,puby_kawiarnie_restauracje_kluby,transport_publiczny,inne_przypadki_zachorowan
2020-07-06,9,myślenicki,159,0,150,0,86,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-07-06,10,nowosądecki,147,0,31,7,140,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-06,11,nowotarski,16,0,10,2,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,8
2020-07-06,12,olkuski,15,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,9
2020-07-06,13,oświęcimski,107,4,71,2,48,13,0,0,NA,NA,NA,NA,NA,NA,NA,44
2020-07-06,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-07-06,15,suski,194,0,124,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-07-06,16,tarnowski,114,3,28,3,83,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-07-06,17,tatrzański,8,0,4,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-06,18,wadowicki,35,2,19,0,17,4,0,0,NA,NA,NA,NA,NA,NA,NA,14
2020-07-06,19,wielicki,127,5,116,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-06,20,m. Kraków,349,19,251,23,108,99,0,0,NA,NA,NA,NA,NA,NA,NA,119
2020-07-06,21,m. Nowy Sącz,47,0,28,3,43,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-06,22,m. Tarnów,14,0,13,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-07,1,bocheński,152,3,141,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-07-07,2,brzeski,69,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,12
2020-07-07,3,chrzanowski,37,0,26,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
2020-07-07,4,dąbrowski,15,0,11,2,12,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-07,5,gorlicki,10,0,7,1,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-07-07,6,krakowski,87,1,68,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,26
2020-07-07,7,limanowski,138,3,104,0,78,25,0,0,NA,NA,NA,NA,NA,NA,NA,35
2020-07-07,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-07-07,9,myślenicki,159,0,150,0,86,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-07-07,10,nowosądecki,165,0,31,7,158,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-07-07,11,nowotarski,16,0,10,2,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,8
2020-07-07,12,olkuski,15,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,9
2020-07-07,13,oświęcimski,107,4,74,2,48,13,0,0,NA,NA,NA,NA,NA,NA,NA,44
2020-07-07,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-07-07,15,suski,194,0,131,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-07-07,16,tarnowski,114,3,30,3,83,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-07-07,17,tatrzański,8,0,4,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-07-07,18,wadowicki,36,2,20,0,18,4,0,0,NA,NA,NA,NA,NA,NA,NA,14
